epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,880.811,1.67693,1.82917,1.63688,0.27073,0.35158,0.28764,0.1213,2.1579,2.83053,2.12771,0.005743,0.005743,0.005743
45,899.659,1.73061,1.82981,1.66305,0.54576,0.31689,0.29416,0.12672,2.18829,2.944,2.12669,0.005644,0.005644,0.005644
46,918.48,1.6498,1.73156,1.60546,0.80777,0.27237,0.28687,0.13314,2.06574,2.81427,2.00982,0.005545,0.005545,0.005545
47,937.234,1.68993,1.71302,1.60968,0.53531,0.27867,0.26979,0.12894,1.99256,2.82016,1.98625,0.005446,0.005446,0.005446
48,955.957,1.67975,1.84492,1.6915,0.51034,0.28089,0.28462,0.12489,2.06329,2.58523,2.00685,0.005347,0.005347,0.005347
49,974.741,1.70896,1.80208,1.68289,0.59354,0.24254,0.2908,0.12389,2.1895,2.28614,2.0857,0.005248,0.005248,0.005248
50,993.476,1.80255,1.92695,1.73584,0.55671,0.28205,0.2976,0.12038,2.21668,2.14827,2.11333,0.005149,0.005149,0.005149
51,1012.27,1.67061,1.82618,1.65007,0.27224,0.30717,0.30473,0.1331,2.06374,2.048,1.9345,0.00505,0.00505,0.00505
52,1031.01,1.68924,1.75325,1.63766,0.2646,0.33381,0.30755,0.13177,1.95529,2.0956,1.88219,0.004951,0.004951,0.004951
53,1049.76,1.67835,1.76826,1.63171,0.25382,0.34097,0.31035,0.13836,1.93422,2.01392,1.86721,0.004852,0.004852,0.004852
54,1068.54,1.66973,1.7271,1.63153,0.56434,0.29474,0.3264,0.15431,1.93778,1.96351,1.83872,0.004753,0.004753,0.004753
55,1088.35,1.64228,1.6874,1.58754,0.59915,0.31357,0.34476,0.17514,1.88565,1.92484,1.78696,0.004654,0.004654,0.004654
56,1107.18,1.61434,1.76057,1.60531,0.61976,0.29439,0.34791,0.17813,1.94035,1.90788,1.82229,0.004555,0.004555,0.004555
57,1125.96,1.62634,1.78065,1.61365,0.59225,0.31189,0.346,0.17698,1.97267,1.91502,1.84369,0.004456,0.004456,0.004456
58,1144.8,1.6371,1.72528,1.61022,0.55178,0.30397,0.32751,0.15817,2.01252,1.97727,1.84898,0.004357,0.004357,0.004357
59,1163.49,1.64268,1.70288,1.62768,0.81191,0.25605,0.30902,0.14188,2.05975,2.01044,1.94086,0.004258,0.004258,0.004258
60,1182.19,1.53597,1.63453,1.51355,0.81274,0.28773,0.32045,0.1499,2.04507,1.97272,1.96711,0.004159,0.004159,0.004159
61,1200.94,1.59627,1.65823,1.56334,0.80381,0.30468,0.32226,0.15919,1.9921,1.8662,1.94795,0.00406,0.00406,0.00406
62,1219.71,1.63628,1.69438,1.58821,0.26085,0.36754,0.3289,0.17013,1.89407,1.87229,1.88337,0.003961,0.003961,0.003961
63,1238.54,1.59292,1.58615,1.56189,0.29361,0.32309,0.32828,0.16548,1.91102,1.87339,1.90574,0.003862,0.003862,0.003862
64,1257.46,1.59402,1.63467,1.57784,0.54465,0.32884,0.33418,0.15949,1.93962,1.88267,1.91471,0.003763,0.003763,0.003763
65,1276.09,1.57832,1.60695,1.56673,0.84422,0.28032,0.34627,0.1682,1.99334,1.92171,1.95345,0.003664,0.003664,0.003664
66,1294.89,1.55068,1.57699,1.55607,0.80518,0.33274,0.39022,0.19239,1.92647,1.86626,1.89849,0.003565,0.003565,0.003565
67,1313.65,1.52307,1.57859,1.5146,0.90357,0.31483,0.39835,0.2044,1.87974,1.79002,1.82166,0.003466,0.003466,0.003466
68,1332.54,1.59393,1.56531,1.54831,0.59251,0.35227,0.38295,0.195,1.85408,1.75253,1.78745,0.003367,0.003367,0.003367
69,1351.33,1.49068,1.56187,1.49494,0.6117,0.3526,0.37633,0.19934,1.82122,1.72482,1.74763,0.003268,0.003268,0.003268
70,1370.42,1.54091,1.58178,1.53181,0.86662,0.3331,0.36827,0.1864,1.9178,1.76721,1.82192,0.003169,0.003169,0.003169
71,1389.12,1.57652,1.47487,1.49448,0.90818,0.30966,0.36234,0.17391,1.99463,1.78111,1.86373,0.00307,0.00307,0.00307
72,1408.05,1.59848,1.55644,1.54125,0.90421,0.31979,0.36939,0.17158,1.97957,1.76395,1.85167,0.002971,0.002971,0.002971
73,1426.69,1.57306,1.52908,1.54071,0.89508,0.34068,0.3723,0.17311,1.94734,1.76128,1.83543,0.002872,0.002872,0.002872
74,1445.41,1.5906,1.53868,1.56429,0.61202,0.33215,0.36187,0.1744,1.89044,1.8355,1.81087,0.002773,0.002773,0.002773
75,1464.08,1.56699,1.58741,1.59059,0.34094,0.34191,0.3597,0.16675,1.99874,1.94638,1.9164,0.002674,0.002674,0.002674
76,1482.81,1.4924,1.45001,1.51023,0.35245,0.35879,0.35515,0.1588,2.05183,1.88356,1.95201,0.002575,0.002575,0.002575
77,1501.55,1.54295,1.62818,1.56291,0.35589,0.35249,0.36009,0.16325,2.04613,1.82217,1.92634,0.002476,0.002476,0.002476
78,1520.28,1.53267,1.5275,1.52103,0.34777,0.3386,0.37489,0.17597,2.01437,1.74373,1.8879,0.002377,0.002377,0.002377
79,1538.92,1.46407,1.46582,1.48721,0.39142,0.38293,0.39296,0.19759,1.95979,1.71772,1.84031,0.002278,0.002278,0.002278
80,1557.74,1.45853,1.40075,1.4191,0.40819,0.37162,0.40396,0.22167,1.90008,1.74328,1.79146,0.002179,0.002179,0.002179
81,1576.43,1.42421,1.42376,1.5009,0.39371,0.38515,0.40719,0.22165,1.87684,1.7609,1.77504,0.00208,0.00208,0.00208
82,1595.28,1.46117,1.4454,1.49282,0.4039,0.36981,0.40459,0.22231,1.82738,1.78852,1.74204,0.001981,0.001981,0.001981
83,1614.01,1.51361,1.44425,1.50147,0.53756,0.39428,0.41465,0.22647,1.83717,1.80832,1.75859,0.001882,0.001882,0.001882
84,1632.97,1.42935,1.47553,1.45423,0.40596,0.42164,0.4185,0.22091,1.86964,1.75221,1.79879,0.001783,0.001783,0.001783
85,1651.7,1.40588,1.35355,1.43112,0.40327,0.42945,0.40137,0.20034,1.88946,1.70644,1.81692,0.001684,0.001684,0.001684
86,1670.26,1.48711,1.47275,1.49011,0.44317,0.43689,0.40609,0.20913,1.87966,1.69148,1.81145,0.001585,0.001585,0.001585
87,1689.09,1.38179,1.35874,1.41624,0.44529,0.4237,0.40568,0.20935,1.8626,1.67523,1.7868,0.001486,0.001486,0.001486
