epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1798.07,2.06608,2.45574,2.12857,0.63797,0.21693,0.30842,0.11973,2.38216,3.0537,2.61574,0.005743,0.005743,0.005743
45,1835.55,2.02396,2.3048,2.08854,0.26442,0.30205,0.2697,0.10602,2.26145,3.14466,2.53585,0.005644,0.005644,0.005644
46,1872.49,2.02934,2.28715,2.02972,0.20728,0.33598,0.21064,0.08255,2.40114,3.05945,2.60083,0.005545,0.005545,0.005545
47,1909.44,1.93325,2.23038,2.05828,0.57372,0.30026,0.25391,0.08157,2.36155,3.09913,2.57215,0.005446,0.005446,0.005446
48,1946.22,2.02382,2.29289,2.07967,0.56391,0.26003,0.24392,0.09676,2.38518,3.05703,2.629,0.005347,0.005347,0.005347
49,1983.23,1.9989,2.39281,2.12553,0.59831,0.17989,0.23901,0.10236,2.27408,2.8033,2.50618,0.005248,0.005248,0.005248
50,2021.07,2.05668,2.25046,2.08619,0.32955,0.33598,0.27904,0.11146,2.15668,3.49615,2.49252,0.005149,0.005149,0.005149
51,2058.38,1.97081,2.22397,2.02674,0.41239,0.29044,0.27369,0.11246,2.22896,4.01719,2.55685,0.00505,0.00505,0.00505
52,2095.93,2.02019,2.20184,2.04412,0.89935,0.14286,0.23741,0.10258,2.27945,3.30799,2.60503,0.004951,0.004951,0.004951
53,2133.27,1.97255,2.1984,1.99815,0.18839,0.2381,0.2429,0.10231,2.35004,2.92461,2.66129,0.004852,0.004852,0.004852
54,2170.52,1.94807,2.14212,2.00346,0.3197,0.3254,0.27769,0.1214,2.31229,2.83779,2.62562,0.004753,0.004753,0.004753
55,2207.53,1.98741,2.20904,2.08917,0.69403,0.17989,0.24407,0.10812,2.28057,2.86696,2.60758,0.004654,0.004654,0.004654
56,2244.66,2.0095,2.12581,1.99801,0.61589,0.22751,0.24369,0.10686,2.28677,2.83975,2.62386,0.004555,0.004555,0.004555
57,2281.84,2.03768,2.22758,2.03446,0.13741,0.27513,0.26273,0.11881,2.31202,2.82119,2.62827,0.004456,0.004456,0.004456
58,2318.88,1.89961,2.08395,1.96724,0.23433,0.43122,0.311,0.12049,2.43704,2.84811,2.71784,0.004357,0.004357,0.004357
59,2356.17,1.94015,2.13393,2.0038,0.25517,0.38365,0.31085,0.1138,2.3823,2.78265,2.62332,0.004258,0.004258,0.004258
60,2394.21,1.93337,2.08878,1.96686,0.24936,0.35979,0.3052,0.1307,2.31399,2.64015,2.56132,0.004159,0.004159,0.004159
61,2431.56,1.9095,2.15877,1.99687,0.23346,0.34921,0.29394,0.12752,2.31267,2.62189,2.5666,0.00406,0.00406,0.00406
62,2469.03,1.937,2.06706,1.96642,0.32507,0.28836,0.26651,0.12345,2.26143,2.55682,2.53537,0.003961,0.003961,0.003961
63,2506.64,1.93916,1.94526,1.85951,0.40303,0.28836,0.27416,0.11958,2.2928,2.58453,2.53974,0.003862,0.003862,0.003862
64,2544.03,1.92713,2.09395,1.97123,0.35874,0.30026,0.27067,0.11775,2.31119,2.61533,2.52838,0.003763,0.003763,0.003763
65,2581.53,1.89352,2.00398,1.96209,0.37727,0.34921,0.27525,0.12136,2.24066,2.57435,2.50601,0.003664,0.003664,0.003664
66,2619.17,1.88185,1.98425,1.88725,0.23549,0.43011,0.26591,0.11354,2.30252,2.62174,2.60482,0.003565,0.003565,0.003565
67,2656.44,1.91102,1.94254,1.93262,0.22855,0.43254,0.2885,0.11871,2.35189,2.61024,2.64427,0.003466,0.003466,0.003466
68,2694.04,1.80497,2.10768,1.9369,0.24312,0.37302,0.33722,0.12166,2.3983,2.6062,2.66678,0.003367,0.003367,0.003367
69,2731.36,1.90237,1.87863,1.87536,0.34574,0.30026,0.33853,0.1287,2.4089,2.57238,2.63691,0.003268,0.003268,0.003268
70,2768.28,1.912,1.90147,1.89667,0.43297,0.34478,0.33388,0.13199,2.36116,2.5647,2.59126,0.003169,0.003169,0.003169
71,2804.91,1.88805,1.92985,1.93496,0.52709,0.38708,0.38446,0.13045,2.34041,2.5677,2.5878,0.00307,0.00307,0.00307
72,2841.61,1.86627,1.98476,1.93017,0.32877,0.45123,0.34969,0.12312,2.34793,2.50471,2.57926,0.002971,0.002971,0.002971
73,2879.31,1.92265,2.10025,1.97107,0.7086,0.27646,0.34044,0.13065,2.3178,2.53276,2.54839,0.002872,0.002872,0.002872
74,2916.24,1.91199,1.95654,1.92308,0.71225,0.27604,0.35299,0.14584,2.22546,2.576,2.45042,0.002773,0.002773,0.002773
75,2953.16,1.87564,1.99228,1.91638,0.77095,0.30159,0.384,0.14853,2.2178,2.64364,2.45361,0.002674,0.002674,0.002674
76,2990.51,1.8415,1.89334,1.88427,0.78115,0.28968,0.36801,0.14573,2.21373,2.63059,2.44705,0.002575,0.002575,0.002575
77,3027.42,1.82679,1.90554,1.88427,0.72621,0.30159,0.39808,0.16338,2.25559,2.59483,2.50559,0.002476,0.002476,0.002476
78,3064.4,1.84501,1.85968,1.84872,0.55516,0.38492,0.41904,0.15501,2.31965,2.53231,2.5422,0.002377,0.002377,0.002377
79,3101.3,1.83938,1.91102,1.877,0.61492,0.34921,0.43849,0.15734,2.29609,2.49297,2.53098,0.002278,0.002278,0.002278
